Time,CO2,th02Temp,humidity,bmp280Temp,pressure,altitude,lux,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_alt
2018-10-25T18:1:4,494.00,20.35,51.45,21.76,102100.94,-64.07,4232.75,0.05,0.05,0.94,-2.99,-2.02,-4.77,0.000000,0.000000,1000000.00
2018-10-25T18:1:6,542.00,20.31,50.92,21.72,102108.29,-65.02,4226.12,0.03,0.04,0.94,-2.97,-1.98,-4.76,0.000000,0.000000,1000000.00
2018-10-25T18:1:7,541.00,20.27,50.31,21.69,102106.08,-64.83,4665.55,0.03,0.05,0.96,-2.96,-1.99,-4.77,0.000000,0.000000,1000000.00
2018-10-25T18:1:9,530.00,20.27,49.99,21.70,102096.67,-64.05,3232.74,0.03,0.09,0.97,-2.96,-1.97,-4.77,0.000000,0.000000,1000000.00
2018-10-25T18:1:10,531.00,20.23,49.69,21.67,102103.31,-64.13,2772.14,0.04,0.06,0.95,-2.96,-2.00,-4.77,0.000000,0.000000,1000000.00
2018-10-25T18:1:12,531.00,20.16,49.17,21.64,102099.27,-64.27,3545.58,0.04,0.05,0.96,-2.96,-2.00,-4.78,0.000000,0.000000,1000000.00
2018-10-25T18:1:14,531.00,20.14,48.71,21.64,102100.95,-64.40,3679.12,0.04,0.06,0.95,-2.97,-1.99,-4.80,0.000000,0.000000,1000000.00
2018-10-25T18:1:15,530.00,20.17,48.51,21.65,102097.47,-64.12,3456.85,0.04,0.06,0.97,-2.97,-1.97,-4.78,0.000000,0.000000,1000000.00
2018-10-25T18:1:17,529.00,20.16,48.34,21.64,102099.60,-64.29,3298.14,0.04,0.04,0.96,-2.98,-2.01,-4.77,0.000000,0.000000,1000000.00
2018-10-25T18:1:18,529.00,20.16,48.25,21.64,102099.60,-64.29,3772.55,0.04,0.05,0.95,-2.99,-1.99,-4.77,0.000000,0.000000,1000000.00
2018-10-25T18:1:20,530.00,20.13,48.07,21.62,102106.79,-64.89,3992.79,0.03,0.05,0.96,-2.98,-1.98,-4.79,0.000000,0.000000,1000000.00
2018-10-25T18:1:22,529.00,20.13,47.98,21.60,102096.30,-63.29,5196.60,0.03,0.05,0.95,-2.99,-2.00,-4.77,0.000000,0.000000,1000000.00
2018-10-25T18:1:23,530.00,20.12,47.95,21.63,102091.16,-63.59,4594.94,0.04,0.05,0.94,-3.00,-1.96,-4.77,0.000000,0.000000,1000000.00
2018-10-25T18:1:25,530.00,20.07,48.15,21.60,102089.49,-63.46,4583.25,0.04,0.07,0.95,-3.01,-1.93,-4.77,0.000000,0.000000,1000000.00
2018-10-25T18:1:26,530.00,20.07,48.44,21.59,102091.73,-63.64,3968.05,0.03,0.07,0.96,-3.02,-1.94,-4.78,0.000000,0.000000,1000000.00
2018-10-25T18:1:28,529.00,20.03,49.04,21.58,102097.36,-64.11,5783.63,0.04,0.06,0.96,-3.00,-1.95,-4.79,0.000000,0.000000,1000000.00
2018-10-25T18:1:30,528.00,20.05,49.65,21.59,102098.85,-64.23,5808.11,0.04,0.06,0.95,-3.02,-1.93,-4.79,0.000000,0.000000,1000000.00
2018-10-25T18:1:31,529.00,20.05,50.12,21.59,102099.01,-64.24,5974.72,0.04,0.07,0.95,-2.99,-1.92,-4.78,0.000000,0.000000,1000000.00
2018-10-25T18:1:33,530.00,20.05,50.34,21.59,102099.52,-64.22,5814.93,0.04,0.06,0.95,-3.04,-1.93,-4.80,38.137367,-121.300178,1000000.00
2018-10-25T18:1:35,530.00,20.05,50.66,21.58,102104.30,-64.68,5626.17,0.03,0.05,0.96,-3.00,-1.92,-4.77,38.137348,-121.300140,2.20
2018-10-25T18:1:36,530.00,20.01,51.10,21.54,102100.99,-64.41,5874.80,0.03,0.06,0.95,-3.03,-1.94,-4.77,38.137348,-121.300155,2.20
2018-10-25T18:1:38,531.00,20.01,51.80,21.56,102100.85,-64.40,5727.22,0.04,0.06,0.95,-3.01,-1.93,-4.76,38.137344,-121.300155,2.20
2018-10-25T18:1:40,533.00,20.02,52.59,21.56,102099.11,-63.86,5925.53,0.03,0.06,0.95,-3.00,-1.92,-4.79,38.137355,-121.300178,2.20
2018-10-25T18:1:41,534.00,20.05,53.05,21.59,102099.35,-64.27,5760.87,0.04,0.08,0.96,-3.02,-1.94,-4.79,38.137355,-121.300170,2.20
2018-10-25T18:1:43,535.00,20.05,53.22,21.56,102089.85,-63.49,5133.99,0.04,0.05,0.95,-3.00,-1.95,-4.78,38.137355,-121.300163,2.20
2018-10-25T18:1:45,536.00,20.03,52.74,21.58,102098.72,-64.22,4910.00,0.02,0.05,0.96,-3.01,-1.97,-4.80,38.137355,-121.300163,2.20
2018-10-25T18:1:46,536.00,20.05,52.50,21.60,102096.08,-64.00,3726.50,0.02,0.05,0.97,-3.01,-1.93,-4.80,38.137355,-121.300163,2.20
2018-10-25T18:1:48,538.00,20.05,52.60,21.60,102092.17,-63.68,5474.29,0.06,0.07,0.95,-3.00,-1.96,-4.82,38.137359,-121.300170,2.20
2018-10-25T18:1:50,539.00,20.07,52.58,21.62,102096.63,-63.68,4815.98,0.04,0.06,0.95,-3.01,-1.94,-4.81,38.137359,-121.300170,2.20
2018-10-25T18:1:51,540.00,20.09,52.45,21.65,102116.99,-65.73,6120.19,0.02,0.06,0.94,-3.02,-1.92,-4.79,38.137359,-121.300170,2.20
2018-10-25T18:1:53,543.00,20.13,52.39,21.65,102116.94,-65.73,7096.21,0.05,0.07,0.96,-3.02,-1.90,-4.83,38.137348,-121.300155,2.20
2018-10-25T18:1:55,543.00,20.14,52.47,21.66,102122.84,-66.18,6961.50,0.04,0.07,0.95,-3.00,-1.94,-4.79,38.137351,-121.300170,2.20
2018-10-25T18:1:56,545.00,20.17,52.38,21.67,102126.18,-66.49,6904.17,0.04,0.05,0.96,-3.01,-1.92,-4.80,38.137355,-121.300170,2.20
2018-10-25T18:1:58,548.00,20.16,51.62,21.63,102119.48,-65.94,6887.06,0.04,0.07,0.96,-3.01,-1.91,-4.81,38.137359,-121.300178,2.20
2018-10-25T18:2:0,550.00,20.16,51.15,21.64,102113.32,-65.65,6469.60,0.04,0.06,0.95,-3.00,-1.90,-4.80,38.137359,-121.300178,2.20
2018-10-25T18:2:2,552.00,20.14,50.90,21.65,102109.83,-65.14,5769.24,0.03,0.07,0.96,-3.01,-1.93,-4.82,38.137359,-121.300178,2.20
2018-10-25T18:2:3,554.00,20.16,50.65,21.66,102087.47,-63.29,1338.26,0.01,0.03,0.96,-3.06,-2.07,-4.78,38.137363,-121.300178,2.20
2018-10-25T18:2:4,554.00,20.19,51.23,21.68,102112.93,-65.40,5134.51,0.03,0.04,0.95,-3.03,-2.01,-4.77,38.137359,-121.300178,2.20
2018-10-25T18:2:6,555.00,20.19,51.09,21.67,102109.74,-65.22,5809.87,0.02,0.04,0.97,-3.05,-1.85,-4.69,38.137359,-121.300178,2.20
2018-10-25T18:2:7,557.00,20.20,50.76,21.67,102117.53,-65.78,5782.98,0.03,0.03,0.96,-3.05,-1.91,-4.70,38.137359,-121.300178,2.20
2018-10-25T18:2:9,557.00,20.20,50.39,21.67,102117.02,-65.73,6170.70,0.04,0.03,0.94,-3.04,-1.92,-4.71,38.137355,-121.300178,2.20
2018-10-25T18:2:10,558.00,20.20,50.09,21.69,102119.61,-65.95,6213.13,0.03,0.02,0.96,-3.00,-1.94,-4.74,38.137359,-121.300178,2.20
2018-10-25T18:2:11,559.00,20.23,49.97,21.71,102116.83,-65.72,6171.60,0.03,0.03,0.97,-3.03,-1.95,-4.73,38.137359,-121.300178,2.20
2018-10-25T18:2:13,559.00,20.24,49.73,21.70,102111.80,-65.30,6010.12,0.03,0.04,0.95,-3.03,-2.00,-4.73,38.137359,-121.300178,2.20
2018-10-25T18:2:14,559.00,20.24,49.46,21.72,102112.74,-65.38,5877.88,0.03,0.03,0.96,-3.02,-2.01,-4.72,38.137359,-121.300178,2.20
2018-10-25T18:2:16,560.00,20.24,49.29,21.73,102114.16,-65.50,5783.58,0.03,0.03,0.96,-3.00,-2.01,-4.71,38.137359,-121.300178,2.20
2018-10-25T18:2:17,560.00,20.27,49.26,21.75,102116.11,-65.66,5793.65,0.03,0.03,0.96,-3.00,-1.98,-4.70,38.137359,-121.300178,2.20
2018-10-25T18:2:19,562.00,20.31,49.54,21.77,102112.44,-65.35,5779.58,0.03,0.02,0.95,-3.01,-2.00,-4.72,38.137359,-121.300178,2.20
2018-10-25T18:2:21,562.00,20.32,49.84,21.78,102117.96,-65.81,6335.81,0.03,0.03,0.96,-3.00,-1.98,-4.73,38.137359,-121.300178,2.20
2018-10-25T18:2:22,563.00,20.34,50.41,21.81,102112.91,-65.40,6378.98,0.02,0.01,0.94,-3.01,-1.97,-4.71,38.137359,-121.300178,2.20
2018-10-25T18:2:24,565.00,20.37,50.76,21.81,102115.74,-65.63,6489.16,0.03,0.03,0.95,-3.02,-2.01,-4.73,38.137363,-121.300178,2.20
2018-10-25T18:2:25,566.00,20.38,51.04,21.81,102113.42,-65.44,6298.21,0.03,0.04,0.96,-3.01,-2.02,-4.71,38.137363,-121.300178,2.20
2018-10-25T18:2:27,566.00,20.35,51.04,21.81,102120.87,-66.05,7089.91,0.04,0.03,0.96,-3.04,-2.01,-4.74,38.137363,-121.300178,2.20
2018-10-25T18:2:28,567.00,20.34,50.78,21.79,102122.85,-66.22,7688.21,0.01,0.02,0.96,-3.00,-2.01,-4.73,38.137363,-121.300178,2.20
2018-10-25T18:2:30,568.00,20.34,50.67,21.80,102114.11,-65.50,7734.91,0.04,0.03,0.96,-3.02,-2.01,-4.71,38.137363,-121.300178,2.20
2018-10-25T18:2:31,567.00,20.34,50.45,21.79,102087.61,-63.30,5435.66,0.04,0.03,0.95,-3.00,-2.01,-4.73,38.137363,-121.300178,2.20
2018-10-25T18:2:33,567.00,20.31,50.37,21.81,102095.92,-63.99,4050.79,0.02,0.06,0.99,-2.93,-2.10,-4.77,38.137359,-121.300178,2.20
2018-10-25T18:2:34,566.00,20.30,50.50,21.81,102093.39,-63.78,5171.77,0.04,0.03,0.97,-2.99,-2.04,-4.75,38.137359,-121.300178,2.20
2018-10-25T18:2:36,565.00,20.30,50.53,21.80,102096.03,-64.00,5126.32,0.06,0.04,0.96,-2.95,-2.00,-4.74,38.137351,-121.300178,1.30
2018-10-25T18:2:37,565.00,20.27,50.29,21.80,102089.42,-63.45,5078.28,0.05,0.07,0.96,-2.93,-2.03,-4.83,38.137351,-121.300186,1.30
2018-10-25T18:2:39,565.00,20.27,50.31,21.80,102097.34,-64.11,5194.71,0.05,0.04,0.96,-2.87,-2.01,-4.83,38.137351,-121.300178,1.30
2018-10-25T18:2:40,565.00,20.30,50.50,21.85,102100.67,-64.38,4853.05,0.06,0.05,0.96,-2.87,-2.06,-4.85,38.137351,-121.300178,1.30
2018-10-25T18:2:42,564.00,20.31,50.67,21.85,102099.78,-64.31,5951.64,0.10,-0.03,0.86,-2.94,-2.05,-4.79,38.137351,-121.300178,1.30
2018-10-25T18:2:43,563.00,20.35,51.20,21.88,102096.96,-64.08,5747.30,0.04,0.02,0.96,-2.98,-2.09,-4.77,38.137351,-121.300178,1.30
2018-10-25T18:2:44,563.00,20.35,51.25,21.87,102094.27,-63.85,5189.71,0.04,0.02,0.95,-2.96,-2.09,-4.76,38.137351,-121.300178,1.30
2018-10-25T18:2:46,562.00,20.35,50.89,21.88,102090.49,-63.54,5262.27,0.04,0.02,0.94,-2.97,-2.08,-4.78,38.137351,-121.300178,1.30
2018-10-25T18:2:47,561.00,20.34,50.50,21.87,102094.78,-63.90,5216.09,0.04,0.03,0.97,-2.96,-2.07,-4.77,38.137348,-121.300170,1.30
2018-10-25T18:2:49,561.00,20.35,50.24,21.90,102081.89,-62.94,2890.55,0.03,0.00,0.92,-2.99,-2.07,-4.77,38.137348,-121.300170,1.30
2018-10-25T18:2:50,561.00,20.38,49.90,21.91,102081.01,-62.75,3933.86,0.04,0.02,0.95,-2.98,-2.06,-4.78,38.137344,-121.300170,1.30
Time,CO2,th02Temp,humidity,bmp280Temp,pressure,altitude,lux,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_alt
2018-10-25T18:2:56,558.00,20.49,49.68,22.02,102093.12,-63.76,2774.44,0.03,0.07,0.95,-3.03,-1.87,-4.83,38.137336,-121.300125,1000000.00
2018-10-25T18:2:58,555.00,20.48,49.52,21.99,102086.86,-63.24,2321.77,0.02,0.05,0.95,-3.03,-1.91,-4.80,38.137363,-121.300140,1000000.00
2018-10-25T18:2:59,555.00,20.44,48.92,21.96,102092.91,-63.74,3678.16,0.03,0.06,0.95,-3.04,-1.63,-4.79,38.137363,-121.300140,1000000.00
2018-10-25T18:3:1,554.00,20.39,48.95,21.95,102083.17,-62.93,2690.91,0.00,0.07,0.97,-2.93,-1.78,-4.86,38.137351,-121.300170,1000000.00
2018-10-25T18:3:3,554.00,20.39,49.08,21.95,102088.45,-63.52,3686.16,0.04,0.02,0.95,-2.81,-2.09,-4.86,38.137367,-121.300186,1000000.00
2018-10-25T18:3:4,554.00,20.41,49.73,21.96,102094.26,-63.85,3647.26,0.04,0.02,0.96,-2.82,-2.09,-4.89,38.137367,-121.300186,1000000.00
2018-10-25T18:3:6,553.00,20.41,50.17,21.97,102095.09,-63.92,3234.55,0.04,0.02,0.95,-2.82,-2.05,-4.89,38.137367,-121.300186,1000000.00
2018-10-25T18:3:8,552.00,20.41,50.01,21.95,102086.89,-63.64,2292.73,0.04,0.03,0.93,-2.85,-1.93,-4.87,38.137371,-121.300193,1000000.00
2018-10-25T18:3:9,551.00,20.42,49.83,21.97,102084.92,-63.08,2057.79,0.02,0.07,0.96,-2.93,-1.77,-4.86,38.137367,-121.300186,12.00
2018-10-25T18:3:11,550.00,20.45,49.62,21.96,102089.17,-63.43,2161.20,0.02,0.08,1.01,-2.81,-2.03,-4.89,38.137363,-121.300178,12.00
2018-10-25T18:3:13,548.00,20.46,49.19,21.95,102093.17,-63.76,2739.36,0.05,0.06,0.96,-2.84,-1.78,-4.90,38.137359,-121.300178,12.00
2018-10-25T18:3:15,548.00,20.46,49.09,21.97,102095.10,-63.75,4027.27,0.03,0.05,0.96,-2.85,-1.82,-4.96,38.137359,-121.300178,12.00
